Time,PosX,PosY,PosZ,PredDx,PredDy,PredDz,UncertaintyX,UncertaintyY,UncertaintyZ,ActualDx,ActualDy,ActualDz, AdaptiveRSafe,CBFValue
21.6979,4.99769,-2.09078,0.150686,0,0,0,0,0,0,0.842987,-0.426036,9.43545,0.5,40.0937
21.7979,4.99768,-2.09079,0.150663,0,0,0,0,0,0,0.243637,-0.285866,10.1426,0.5,40.0935
21.8979,4.99765,-2.09081,0.150574,0,0,0,0,0,0,0.713702,-0.720168,9.56106,0.5,40.0933
21.9979,4.9976,-2.09081,0.150488,0.144222,-0.0923917,1.87994,0.179605,0.179605,0.179605,-0.194333,-0.264398,10.1565,0.859211,39.6045
22.0979,4.99756,-2.09083,0.150378,0.235388,-0.156668,3.42081,0.156174,0.156174,0.156174,1.10358,-0.494805,9.26147,0.812349,39.6823
22.1979,4.99747,-2.09088,0.15022,0.307675,-0.211267,4.64085,0.14003,0.14003,0.14003,-0.078807,-1.02823,9.75591,0.780059,39.7329
22.298,4.99734,-2.09089,0.150051,0.377501,-0.274572,5.62458,0.128041,0.128041,0.128041,1.80559,-0.548766,9.80824,0.756083,39.7682
22.3979,4.9972,-2.09093,0.149884,0.430274,-0.325808,6.41857,0.118688,0.118688,0.118688,1.06168,0.0147857,9.50351,0.737375,39.7947
22.4979,4.99711,-2.09102,0.149721,0.486438,-0.353324,7.05151,0.111128,0.111128,0.111128,1.1362,-0.621023,10.1869,0.722256,39.816
22.5979,4.99701,-2.09108,0.149599,0.537494,-0.378802,7.57114,0.104854,0.104854,0.104854,1.76555,-0.859571,9.74008,0.709708,39.833
22.6979,4.99684,-2.09112,0.149451,0.572332,-0.406691,7.98862,0.0995376,0.0995376,0.0995376,0.0641391,-0.243383,9.51594,0.699075,39.8462
22.7979,4.99676,-2.0912,0.149352,0.591225,-0.424046,8.32004,0.094964,0.094964,0.094964,0.951049,-0.878013,9.69181,0.689928,39.8582
22.8978,4.99671,-2.09131,0.149306,0.604963,-0.444294,8.58593,0.0909662,0.0909662,0.0909662,0.687832,-0.874604,9.67319,0.681932,39.8691
22.9978,4.99663,-2.09137,0.14928,0.627168,-0.465834,8.79901,0.0874318,0.0874318,0.0874318,-0.512732,-0.81236,9.77464,0.674864,39.878
23.0979,4.99654,-2.09143,0.149254,0.638905,-0.486765,8.97122,0.0842804,0.0842804,0.0842804,-0.565285,-0.425711,9.69465,0.668561,39.8856
23.1979,4.99647,-2.09152,0.14921,0.647233,-0.501592,9.10944,0.0814493,0.0814493,0.0814493,-0.181361,-0.577885,10.0733,0.662899,39.8927
23.2979,4.99636,-2.09159,0.149133,0.657996,-0.513666,9.22513,0.0788891,0.0788891,0.0788891,-0.279534,-0.653687,9.71951,0.657778,39.8984
23.3979,4.9962,-2.09165,0.149014,0.665487,-0.524403,9.31805,0.0765651,0.0765651,0.0765651,-1.31785,-0.500735,10.1579,0.65313,39.9028
23.4979,4.99608,-2.0917,0.148946,0.668799,-0.532257,9.39758,0.0744486,0.0744486,0.0744486,0.0709279,-0.81712,9.88721,0.648897,39.9071
23.598,4.99604,-2.0917,0.14895,0.672149,-0.541207,9.463,0.0724931,0.0724931,0.0724931,-1.35318,-0.496867,9.69054,0.644986,39.9117
23.6979,4.99598,-2.09169,0.148951,0.679626,-0.547567,9.51499,0.070666,0.070666,0.070666,-2.27423,-0.183287,8.96882,0.641332,39.9156
23.7978,4.99594,-2.0917,0.148898,0.68949,-0.548948,9.54941,0.0689717,0.0689717,0.0689717,1.22595,-1.41901,9.71626,0.637943,39.9195
23.8978,4.99592,-2.09167,0.148849,0.700199,-0.557908,9.57721,0.0674002,0.0674002,0.0674002,0.75497,-0.66668,9.49107,0.6348,39.9231
23.9978,4.99587,-2.09165,0.148767,0.718788,-0.565711,9.59773,0.0659263,0.0659263,0.0659263,-0.301035,1.08873,10.509,0.631853,39.9262
24.0979,4.99589,-2.0916,0.148739,0.753276,-0.557907,9.62106,0.0645548,0.0645548,0.0645548,-1.32307,0.615972,9.77192,0.62911,39.9297
24.1979,4.9958,-2.09159,0.148699,0.784469,-0.542522,9.64018,0.0632489,0.0632489,0.0632489,0.0881046,-1.2504,10.3364,0.626498,39.9318
24.298,4.99566,-2.09155,0.14869,0.811668,-0.536133,9.66025,0.062038,0.062038,0.062038,-0.197832,-0.849074,9.12061,0.624076,39.933
24.3979,4.99537,-2.09141,0.148865,0.849462,-0.53353,9.6717,0.0609,0.0609,0.0609,-0.162319,-0.124264,10.2008,0.6218,39.9318
24.4979,4.99451,-2.09141,0.149298,0.874843,-0.528591,9.68432,0.0598321,0.0598321,0.0598321,-1.47882,-0.325546,9.63413,0.619664,39.9241
24.5979,4.99394,-2.09135,0.149648,0.881539,-0.523349,9.6937,0.0590148,0.0590148,0.0590148,-0.484189,-1.029,9.72979,0.61803,39.9191
24.6979,4.99304,-2.09133,0.150126,0.874881,-0.522716,9.70116,0.0582505,0.0582505,0.0582505,0.669191,-1.0682,9.34176,0.616501,39.9102
24.798,4.99182,-2.09132,0.150636,0.883322,-0.525875,9.70447,0.0578002,0.0578002,0.0578002,1.34753,-5.06735,9.51789,0.6156,39.8965
24.8979,4.99019,-2.09138,0.151105,0.877288,-0.558723,9.70564,0.0578072,0.0578072,0.0578072,-0.588754,1.20876,10.0853,0.615614,39.8773
24.9979,4.98899,-2.09203,0.151234,0.888525,-0.572812,9.70886,0.05849,0.05849,0.05849,-1.30357,1.90446,10.7263,0.61698,39.8639
25.0979,4.98794,-2.09243,0.151405,0.881162,-0.566739,9.71825,0.0589558,0.0589558,0.0589558,-0.295816,-0.412949,10.4901,0.617912,39.8518
25.1979,4.98658,-2.09278,0.151734,0.907316,-0.560792,9.73093,0.0594095,0.0594095,0.0594095,-1.98039,-0.37095,10.1767,0.618819,39.8359
25.2979,4.98449,-2.09328,0.152246,0.949175,-0.554565,9.74408,0.0604875,0.0604875,0.0604875,-0.143497,1.91099,10.4614,0.620975,39.8104
25.3979,4.98128,-2.09362,0.153342,1.01767,-0.529718,9.76013,0.0630525,0.0630525,0.0630525,1.10381,1.65336,10.5372,0.626105,39.767
25.4978,4.97855,-2.09359,0.154274,1.04475,-0.487905,9.78028,0.0682423,0.0682423,0.0682423,-1.13561,-1.20283,10.0563,0.636485,39.721
25.5978,4.97577,-2.09255,0.155846,1.037,-0.46004,9.7994,0.072625,0.072625,0.072625,-1.17397,-3.25568,9.23132,0.64525,39.6722
25.698,4.97292,-2.08968,0.158044,0.989749,-0.469642,9.80787,0.0773478,0.0773478,0.0773478,0.189186,-1.38747,10.664,0.654696,39.614
25.7978,4.97094,-2.08673,0.159666,0.868064,-0.489963,9.82569,0.083002,0.083002,0.083002,0.158012,-0.452035,9.84211,0.666004,39.563
25.8979,4.96934,-2.08337,0.160492,0.724842,-0.505814,9.83933,0.0868973,0.0868973,0.0868973,-0.274952,-2.03849,9.26345,0.673795,39.5195
25.9978,4.96719,-2.07879,0.160305,0.547261,-0.543284,9.83975,0.0898894,0.0898894,0.0898894,0.242612,0.443537,11.4466,0.679779,39.4666
26.098,4.96316,-2.07283,0.159804,0.35246,-0.55602,9.86719,0.0947337,0.0947337,0.0947337,-1.45529,0.594639,12.7618,0.689467,39.3806
26.1979,4.95738,-2.06538,0.159597,0.205567,-0.541682,9.95121,0.104672,0.104672,0.104672,2.02807,1.00328,10.9994,0.709343,39.253
26.2978,4.95165,-2.05753,0.159396,0.133157,-0.486134,10.0494,0.118409,0.118409,0.118409,-2.16556,0.418474,9.15557,0.736818,39.1126
26.3978,4.94342,-2.04718,0.160232,0.19714,-0.409784,10.0968,0.129464,0.129464,0.129464,-1.3322,-1.28211,9.38437,0.758928,38.9392
26.4979,4.92985,-2.03153,0.16332,-0.00314412,-0.381205,10.1027,0.14286,0.14286,0.14286,-0.447374,-1.79051,10.0104,0.785721,38.6728
26.5978,4.90952,-2.01105,0.166008,-0.373657,-0.426501,10.0947,0.160954,0.160954,0.160954,-1.16475,-1.3821,9.58008,0.821908,38.2912
26.6979,4.88382,-1.98715,0.165849,-0.893509,-0.516131,10.0377,0.177531,0.177531,0.177531,0.343963,-0.868919,9.57241,0.855062,37.837
26.7979,4.85333,-1.95957,0.163736,-1.38593,-0.600522,9.93135,0.188199,0.188199,0.188199,-0.209642,2.05726,9.96803,0.876399,37.3333
26.8979,4.82003,-1.93142,0.161119,-1.2447,-0.448997,9.81658,0.195805,0.195805,0.195805,-0.578304,-2.23788,9.0511,0.891609,36.8082
26.9978,4.78497,-1.90243,0.160363,-1.23024,-0.489696,9.62759,0.200357,0.200357,0.200357,1.32922,-0.736188,9.99418,0.900713,36.2739
27.0979,4.74928,-1.87358,0.162032,-1.10089,-0.532835,9.48565,0.203811,0.203811,0.203811,-0.503751,-2.5158,10.1071,0.907621,35.7408
27.1979,4.71778,-1.84864,0.165582,-1.01144,-0.725028,9.40287,0.205969,0.205969,0.205969,-1.04107,-2.06804,10.4111,0.911938,35.2788
27.298,4.68497,-1.82256,0.171151,-1.03541,-0.950124,9.39922,0.202922,0.202922,0.202922,-0.0918632,2.74622,10.8918,0.905844,34.82
27.3979,4.65541,-1.8001,0.177712,-0.311515,-0.77895,9.48428,0.20263,0.20263,0.20263,0.561004,2.16994,10.2166,0.905259,34.4045
27.4979,4.62698,-1.779,0.184396,0.745432,-0.427634,9.56401,0.199105,0.199105,0.199105,-0.408179,-0.0765912,9.58888,0.898211,34.021
27.5979,4.59837,-1.75903,0.191258,1.30876,-0.170641,9.58291,0.195928,0.195928,0.195928,-1.55986,-1.04568,9.16924,0.891856,33.6405
27.6978,4.57033,-1.7402,0.198597,1.30876,-0.0691792,9.52802,0.193988,0.193988,0.193988,-0.753544,2.18411,9.78123,0.887976,33.2684
27.7979,4.54554,-1.72483,0.207396,1.41249,0.160375,9.47413,0.1924,0.1924,0.1924,0.687777,0.951551,9.46508,0.8848,32.9452
27.8979,4.52399,-1.71352,0.219002,1.12152,0.358428,9.40455,0.188612,0.188612,0.188612,-0.483757,1.06077,10.5396,0.877225,32.681
27.9979,4.50634,-1.70588,0.232325,0.83055,0.525479,9.4058,0.183973,0.183973,0.183973,-2.10463,-0.0400384,10.3849,0.867946,32.4765
28.0979,4.49496,-1.70297,0.245348,0.53958,0.588052,9.44341,0.178899,0.178899,0.178899,0.619142,-0.956718,9.45231,0.857798,32.3589
28.198,4.487,-1.70333,0.260849,0.24861,0.528636,9.45086,0.171512,0.171512,0.171512,0.0974908,-3.69948,9.06729,0.843024,32.2978
28.298,4.48215,-1.70449,0.274348,-0.04236,0.240717,9.41956,0.16792,0.16792,0.16792,0.0556919,-1.91694,10.6832,0.835839,32.2606
28.398,4.48076,-1.70713,0.286484,-0.33333,-0.0761183,9.45438,0.16382,0.16382,0.16382,-0.933439,-1.34427,10.9887,0.82764,32.268
28.4979,4.48368,-1.71128,0.299907,-0.6243,-0.358895,9.54865,0.159612,0.159612,0.159612,-0.0276434,-2.13568,9.88833,0.819224,32.3281
28.5978,4.48983,-1.71654,0.313912,0.213328,-0.642765,9.62593,0.159083,0.159083,0.159083,-0.815311,0.828135,9.82388,0.818165,32.4154
28.6979,4.49767,-1.72198,0.327738,-0.0113116,-0.757491,9.68454,0.161475,0.161475,0.161475,0.861698,-0.531879,9.17528,0.822949,32.5124
28.7978,4.50478,-1.72781,0.342935,-0.123743,-0.814137,9.68989,0.1642,0.1642,0.1642,-1.30907,-0.967326,8.567,0.8284,32.6016
28.898,4.51284,-1.73547,0.359746,-0.124974,-0.85386,9.61795,0.167054,0.167054,0.167054,-1.0867,0.15606,10.8902,0.834107,32.7075
28.9979,4.52237,-1.74594,0.377368,0.0838023,-0.814175,9.6243,0.170258,0.170258,0.170258,-1.62219,-0.610241,9.22682,0.840517,32.8384
29.0979,4.53147,-1.75739,0.393249,0.232685,-0.763483,9.58553,0.173082,0.173082,0.173082,1.12421,0.211431,10.1218,0.846164,32.9696
29.1979,4.54292,-1.77316,0.413711,0.5575,-0.661213,9.57133,0.172381,0.172381,0.172381,-0.420707,-1.55854,10.5211,0.844761,33.1544
29.2978,4.5541,-1.78981,0.440548,0.693442,-0.636665,9.59238,0.177018,0.177018,0.177018,-1.61357,0.396742,9.23768,0.854036,33.3221
29.3978,4.56542,-1.80703,0.4716,0.964645,-0.544846,9.54035,0.183496,0.183496,0.183496,-0.864596,0.967809,10.1151,0.866992,33.4876
29.4979,4.57752,-1.82402,0.504481,1.235848,-0.370354,9.49724,0.189902,0.189902,0.189902,-0.238758,0.218356,9.08078,0.879803,33.6618
29.5978,4.59064,-1.84005,0.537851,1.507051,-0.20958,9.38756,0.194684,0.194684,0.194684,-2.27757,0.0280606,9.39875,0.889369,33.8501
29.6979,4.60579,-1.85637,0.571086,0.964645,-0.0899537,9.27114,0.19725,0.19725,0.19725,0.57498,0.858461,9.30421,0.8945,34.0709
29.7979,4.62276,-1.87245,0.60506,0.422239,0.0552123,9.1579,0.198685,0.198685,0.198685,0.184225,-3.47253,10.6079,0.89737,34.3162
29.8979,4.63898,-1.88727,0.635725,-0.120167,-0.14543,9.1638,0.199909,0.199909,0.199909,-0.020081,-0.94968,9.76931,0.899817,34.5502
29.9979,4.6574,-1.90363,0.669183,-0.662573,-0.34577,9.18324,0.19762,0.19762,0.19762,1.69219,1.29384,8.93828,0.89524,34.8285
30.0979,4.67552,-1.91986,0.702133,-1.204979,-0.352618,9.14164,0.199148,0.199148,0.199148,0.37732,-0.27319,9.56664,0.898297,35.0905
30.1978,4.69277,-1.93536,0.734337,0.775362,-0.353796,9.11358,0.199633,0.199633,0.199633,1.51313,-0.214887,10.1824,0.899267,35.3446
